Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1649.2997860000003
FDW14,OUT017,1435.912134375
NCN55,OUT010,584.7577647727273
FDQ58,OUT017,2649.1102324324343
FDY38,OUT027,6280.890880000001
FDH56,OUT046,1922.1493817142853
FDL48,OUT018,713.8586545454546
FDC48,OUT027,2517.8820884848496
FDN33,OUT045,1879.2570116129027
FDA36,OUT017,2752.9709346534646
FDT44,OUT017,1922.1493817142853
FDQ56,OUT045,1435.912134375
NCC54,OUT019,584.7577647727273
FDU11,OUT049,2142.743570940171
DRL59,OUT013,713.8586545454546
FDM24,OUT049,2286.413267368421
FDI57,OUT045,3130.004904950494
DRC12,OUT018,2893.8398258992806
NCM42,OUT027,3242.0620715328478
FDA46,OUT010,482.6995426229507
FDA31,OUT013,2778.589317525773
NCJ31,OUT035,3737.295775182482
FDG52,OUT046,798.2176035398228
NCL19,OUT019,281.4820818181818
FDS10,OUT035,3384.108064242422
FDX22,OUT010,584.7577647727273
NCF19,OUT035,798.2176035398228
NCE06,OUT046,2503.501336448598
DRC27,OUT046,3643.5197259842516
FDE21,OUT035,1922.1493817142853
NCR42,OUT019,92.67548155339806
FDX51,OUT018,2893.8398258992806
NCR06,OUT018,507.046403669725
FDU31,OUT027,5329.314724444444
FDU59,OUT017,2503.501336448598
FDR03,OUT027,5329.314724444444
FDS49,OUT027,2517.8820884848496
FDD48,OUT010,281.4820818181818
NCF18,OUT017,2939.348476190475
NCD43,OUT027,2517.8820884848496
NCD54,OUT018,1752.2524399999998
FDY19,OUT010,281.4820818181818
NCY54,OUT017,2778.589317525773
NCL19,OUT018,2232.8470218487387
FDP23,OUT010,584.7577647727273
FDC26,OUT013,1649.2997860000003
FDR14,OUT010,165.91858165137606
NCS41,OUT035,3384.108064242422
FDF41,OUT035,3737.295775182482
FDU34,OUT046,1987.2510486486485
DRH11,OUT046,935.0323883040934
FDM03,OUT013,1461.843796
FDS31,OUT017,3384.108064242422
FDJ20,OUT017,2142.743570940171
FDV44,OUT027,5329.314724444444
FDG02,OUT049,2752.9709346534646
FDA09,OUT013,3259.5620849056613
FDT04,OUT013,507.046403669725
FDL58,OUT019,584.7577647727273
FDE52,OUT045,1435.912134375
FDW12,OUT035,2286.413267368421
FDL51,OUT017,3643.5197259842516
NCY42,OUT027,3242.0620715328478
FDR07,OUT017,1573.0706258064517
FDN40,OUT045,2286.413267368421
FDB35,OUT027,2517.8820884848496
FDA22,OUT017,2286.413267368421
NCL06,OUT046,4034.3003068965495
FDI35,OUT013,3384.108064242422
NCW42,OUT045,4340.218358415842
NCX06,OUT049,2778.589317525773
FDC37,OUT027,2517.8820884848496
FDZ14,OUT018,1752.2524399999998
DRG49,OUT049,3454.062559154927
NCG06,OUT045,4034.3003068965495
DRC36,OUT045,3259.5620849056613
FDV21,OUT019,281.4820818181818
FDB53,OUT046,3053.0998777777777
DRP47,OUT019,584.7577647727273
FDA14,OUT013,3053.0998777777777
DRC24,OUT035,2644.477842708334
FDW21,OUT018,1372.688490740741
NCH29,OUT046,1682.2122382352943
FDU58,OUT013,2893.8398258992806
FDY27,OUT017,2552.005235185186
FDV56,OUT035,1682.2122382352943
FDT59,OUT046,3945.432567213115
FDB23,OUT046,3945.432567213115
FDR49,OUT045,798.2176035398228
FDB03,OUT010,584.7577647727273
FDN39,OUT045,2453.747700699301
FDX02,OUT027,5329.314724444444
FDQ16,OUT027,2517.8820884848496
FDU35,OUT018,1372.688490740741
NCT29,OUT013,1987.2510486486485
FDZ27,OUT046,798.2176035398228
FDN57,OUT017,2309.200798
FDA03,OUT018,2232.8470218487387
FDZ36,OUT045,3384.108064242422
NCU05,OUT013,1284.7897668711655
FDT39,OUT018,2232.8470218487387
FDK60,OUT017,1461.843796
FDZ25,OUT017,3053.0998777777777
FDG12,OUT046,2243.6695967213113
DRB01,OUT019,482.6995426229507
NCC43,OUT027,6280.890880000001
FDX13,OUT019,584.7577647727273
FDM22,OUT049,796.6402682539682
FDJ03,OUT027,1378.2631852760744
FDU14,OUT018,3327.952582926828
FDB33,OUT010,346.8972837209302
FDP27,OUT046,3391.5912527272712
FDO38,OUT010,165.91858165137606
FDE28,OUT027,6280.890880000001
FDO27,OUT035,1879.2570116129027
DRL23,OUT027,2517.8820884848496
FDS28,OUT046,935.0323883040934
FDX24,OUT013,1435.912134375
FDZ02,OUT035,1682.2122382352943
FDL46,OUT045,1827.8328454545444
FDS60,OUT027,5329.314724444444
NCO06,OUT017,583.8145788617884
FDO16,OUT035,1435.912134375
FDC60,OUT049,1458.4550080536915
FDA48,OUT018,3327.952582926828
FDZ36,OUT027,5329.314724444444
FDK27,OUT045,1827.8328454545444
FDW23,OUT018,507.046403669725
FDM14,OUT018,1372.688490740741
FDM14,OUT013,1649.2997860000003
FDW60,OUT018,3259.5620849056613
FDE21,OUT013,1922.1493817142853
NCM42,OUT035,1682.2122382352943
FDY59,OUT010,219.21852093023256
DRI49,OUT049,1202.6567333333328
FDT28,OUT019,346.8972837209302
FDQ22,OUT018,507.046403669725
FDR60,OUT049,1202.6567333333328
FDC50,OUT019,219.21852093023256
FDV24,OUT013,2503.501336448598
DRF48,OUT010,482.6995426229507
FDQ47,OUT046,583.8145788617884
DRN36,OUT049,1573.0706258064517
NCY06,OUT035,1987.2510486486485
FDE52,OUT035,1435.912134375
NCB54,OUT045,1827.8328454545444
NCF31,OUT035,2286.413267368421
FDJ08,OUT027,5329.314724444444
NCC07,OUT017,1682.2122382352943
NCD19,OUT027,1378.2631852760744
FDL46,OUT049,1987.2510486486485
FDM20,OUT045,4340.218358415842
NCI06,OUT010,425.93559145299156
DRM11,OUT035,4433.304032653061
NCH07,OUT018,2232.8470218487387
FDS23,OUT013,2142.743570940171
FDO49,OUT018,713.8586545454546
FDS35,OUT049,1103.1862133333327
DRK39,OUT045,1435.912134375
DRI39,OUT049,796.6402682539682
FDV04,OUT017,2503.501336448598
NCN14,OUT035,3384.108064242422
FDH08,OUT013,3643.5197259842516
FDS20,OUT046,3384.108064242422
FDV40,OUT049,1103.1862133333327
FDZ48,OUT010,281.4820818181818
FDS24,OUT027,2517.8820884848496
FDK44,OUT049,2552.005235185186
FDS48,OUT045,3053.0998777777777
FDK26,OUT010,482.6995426229507
FDD23,OUT045,3391.5912527272712
NCH54,OUT017,2644.477842708334
NCP14,OUT010,219.21852093023256
FDM60,OUT010,92.67548155339806
FDV24,OUT017,2503.501336448598
FDH08,OUT018,3327.952582926828
FDS12,OUT027,3242.0620715328478
FDR39,OUT027,5329.314724444444
FDP12,OUT027,1378.2631852760744
DRF60,OUT027,6280.890880000001
FDC09,OUT035,1682.2122382352943
FDF50,OUT018,2893.8398258992806
FDG28,OUT035,4340.218358415842
NCE19,OUT017,935.0323883040934
NCM53,OUT010,281.4820818181818
NCN18,OUT049,1879.2570116129027
FDF32,OUT035,3130.004904950494
FDF11,OUT013,3945.432567213115
DRI59,OUT049,4340.218358415842
NCG54,OUT035,2644.477842708334
FDM44,OUT046,1573.0706258064517
FDT57,OUT018,3327.952582926828
FDV24,OUT046,2503.501336448598
FDI50,OUT019,584.7577647727273
FDS09,OUT035,713.8586545454546
NCC31,OUT027,4117.317712631577
FDQ07,OUT019,584.7577647727273
FDC22,OUT017,3391.5912527272712
FDZ56,OUT046,2644.477842708334
FDZ40,OUT019,165.91858165137606
FDS46,OUT027,3242.0620715328478
DRD24,OUT045,1827.8328454545444
FDV45,OUT017,2939.348476190475
FDL26,OUT045,3053.0998777777777
FDA56,OUT018,1752.2524399999998
FDN27,OUT046,1922.1493817142853
FDM20,OUT049,4340.218358415842
FDO16,OUT017,1435.912134375
FDL03,OUT035,3130.004904950494
FDE58,OUT046,1922.1493817142853
FDI02,OUT027,3242.0620715328478
NCC55,OUT019,92.67548155339806
FDR03,OUT018,3327.952582926828
FDB14,OUT017,1284.7897668711655
FDR45,OUT013,3945.432567213115
NCN07,OUT017,2243.6695967213113
FDM51,OUT019,219.21852093023256
FDT52,OUT027,6280.890880000001
FDL26,OUT046,3053.0998777777777
NCZ42,OUT046,3945.432567213115
DRI47,OUT019,346.8972837209302
FDW40,OUT013,2309.200798
FDN34,OUT046,3053.0998777777777
FDS01,OUT035,2778.589317525773
NCG55,OUT045,1827.8328454545444
FDC11,OUT035,1284.7897668711655
FDX35,OUT018,3327.952582926828
NCB06,OUT046,2644.477842708334
FDR09,OUT019,584.7577647727273
FDC53,OUT017,1573.0706258064517
FDY45,OUT013,4433.304032653061
FDA22,OUT010,425.93559145299156
FDE02,OUT035,1573.0706258064517
FDW21,OUT045,1461.843796
FDV34,OUT046,1103.1862133333327
FDS59,OUT049,1879.2570116129027
NCW17,OUT017,2243.6695967213113
NCK54,OUT046,1922.1493817142853
FDG17,OUT019,584.7577647727273
FDG35,OUT017,3259.5620849056613
FDD08,OUT010,92.67548155339806
NCO07,OUT017,3643.5197259842516
FDJ10,OUT010,281.4820818181818
FDW36,OUT017,1573.0706258064517
FDW21,OUT010,219.21852093023256
FDY19,OUT017,1922.1493817142853
DRE03,OUT013,798.2176035398228
NCC55,OUT049,677.1027476190478
FDH52,OUT010,165.91858165137606
FDO09,OUT017,4034.3003068965495
FDU43,OUT045,4340.218358415842
FDX09,OUT010,425.93559145299156
FDH40,OUT019,219.21852093023256
FDW58,OUT017,1573.0706258064517
FDC47,OUT017,3737.295775182482
NCR41,OUT035,1461.843796
DRG49,OUT035,3737.295775182482
FDC52,OUT027,4117.317712631577
FDY13,OUT046,1103.1862133333327
FDY35,OUT013,507.046403669725
FDI35,OUT017,3384.108064242422
NCU18,OUT049,2309.200798
FDY33,OUT018,2232.8470218487387
FDC15,OUT027,4117.317712631577
FDU01,OUT049,2752.9709346534646
NCU42,OUT046,2649.1102324324343
NCV29,OUT018,3259.5620849056613
NCY30,OUT017,3384.108064242422
FDQ46,OUT049,1649.2997860000003
FDG58,OUT027,4117.317712631577
FDK33,OUT017,3643.5197259842516
NCD07,OUT045,1827.8328454545444
NCX29,OUT027,4117.317712631577
NCT42,OUT013,2649.1102324324343
DRN59,OUT035,798.2176035398228
FDI44,OUT035,1284.7897668711655
FDA45,OUT049,2552.005235185186
FDP31,OUT045,1103.1862133333327
FDY01,OUT046,1922.1493817142853
FDT09,OUT018,1752.2524399999998
DRH03,OUT027,2517.8820884848496
FDA36,OUT018,2752.9709346534646
NCF31,OUT017,2286.413267368421
FDG14,OUT049,2286.413267368421
FDG28,OUT027,6280.890880000001
FDU14,OUT049,4433.304032653061
FDY47,OUT019,281.4820818181818
FDI56,OUT049,1458.4550080536915
DRD01,OUT013,796.6402682539682
FDM22,OUT046,935.0323883040934
FDH33,OUT013,507.046403669725
DRZ24,OUT013,1922.1493817142853
NCQ38,OUT046,1682.2122382352943
FDO16,OUT027,2517.8820884848496
FDU07,OUT027,4117.317712631577
NCB07,OUT013,2893.8398258992806
