Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1820.0
FDW14,OUT017,1588.0
NCN55,OUT010,1928.0
FDQ58,OUT017,2616.0
FDY38,OUT027,5236.0
FDH56,OUT046,1924.0
FDL48,OUT018,592.0
FDC48,OUT027,2780.0
FDN33,OUT045,1512.0
FDA36,OUT017,3052.0
FDT44,OUT017,1984.0
FDQ56,OUT045,1276.0
NCC54,OUT019,1880.0
FDU11,OUT049,2012.0
DRL59,OUT013,856.0
FDM24,OUT049,2564.0
FDI57,OUT045,3072.0
DRC12,OUT018,2760.0
NCM42,OUT027,3200.0
FDA46,OUT010,1168.0
FDA31,OUT013,2792.0
NCJ31,OUT035,3868.0
FDG52,OUT046,796.0
NCL19,OUT019,404.0
FDS10,OUT035,3012.0
FDX22,OUT010,1476.0
NCF19,OUT035,860.0
NCE06,OUT046,2520.0
DRC27,OUT046,3848.0
FDE21,OUT035,1992.0
NCR42,OUT019,-1356.0
FDX51,OUT018,2864.0
NCR06,OUT018,400.0
FDU31,OUT027,4976.0
FDU59,OUT017,2704.0
FDR03,OUT027,4828.0
FDS49,OUT027,2780.0
FDD48,OUT010,-64.0
NCF18,OUT017,3080.0
NCD43,OUT027,3104.0
NCD54,OUT018,1968.0
FDY19,OUT010,-24.0
NCY54,OUT017,2800.0
NCL19,OUT018,2008.0
FDP23,OUT010,1560.0
FDC26,OUT013,1808.0
FDR14,OUT010,-1016.0
NCS41,OUT035,3020.0
FDF41,OUT035,4032.0
FDU34,OUT046,2008.0
DRH11,OUT046,904.0
FDM03,OUT013,1792.0
FDS31,OUT017,3088.0
FDJ20,OUT017,2088.0
FDV44,OUT027,4540.0
FDG02,OUT049,3068.0
FDA09,OUT013,2940.0
FDT04,OUT013,692.0
FDL58,OUT019,2360.0
FDE52,OUT045,1456.0
FDW12,OUT035,2496.0
FDL51,OUT017,3552.0
NCY42,OUT027,3696.0
FDR07,OUT017,1624.0
FDN40,OUT045,2368.0
FDB35,OUT027,2980.0
FDA22,OUT017,2736.0
NCL06,OUT046,4120.0
FDI35,OUT013,2912.0
NCW42,OUT045,3388.0
NCX06,OUT049,2888.0
FDC37,OUT027,3196.0
FDZ14,OUT018,1728.0
DRG49,OUT049,3924.0
