Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1509.4323129186612
FDW14,OUT017,1364.0491539906106
NCN55,OUT010,542.9755395973149
FDQ58,OUT017,2384.0151261682245
FDY38,OUT027,5669.163351428571
FDH56,OUT046,1874.4309598591547
FDL48,OUT018,754.5960957264957
FDC48,OUT027,2513.079854666667
FDN33,OUT045,1554.0070756410253
FDA36,OUT017,3087.507511282052
FDT44,OUT017,1874.4309598591547
FDQ56,OUT045,1364.0491539906106
NCC54,OUT019,542.9755395973149
FDU11,OUT049,2054.215706620207
DRL59,OUT013,754.5960957264957
FDM24,OUT049,2384.0151261682245
FDI57,OUT045,2880.9695613636363
DRC12,OUT018,2880.9695613636363
NCM42,OUT027,3175.335988157896
FDA46,OUT010,542.9755395973149
FDA31,OUT013,2736.968429875518
NCJ31,OUT035,3593.141235125448
FDG52,OUT046,754.5960957264957
NCL19,OUT019,286.4177705128205
FDS10,OUT035,2880.9695613636363
FDX22,OUT010,542.9755395973149
NCF19,OUT035,754.5960957264957
NCE06,OUT046,2384.0151261682245
DRC27,OUT046,4109.900606217616
FDE21,OUT035,1874.4309598591547
NCR42,OUT019,130.33349056603774
FDX51,OUT018,3087.507511282052
NCR06,OUT018,637.5735090128757
FDU31,OUT027,5669.163351428571
FDU59,OUT017,2384.0151261682245
FDR03,OUT027,5669.163351428571
FDS49,OUT027,2513.079854666667
FDD48,OUT010,286.4177705128205
NCF18,OUT017,2880.9695613636363
NCD43,OUT027,2513.079854666667
NCD54,OUT018,1936.5082478260874
FDY19,OUT010,286.4177705128205
NCY54,OUT017,2997.4076790419153
NCL19,OUT018,2346.648786938776
FDP23,OUT010,542.9755395973149
FDC26,OUT013,1722.3316111731851
FDR14,OUT010,130.33349056603774
NCS41,OUT035,3389.226979354838
FDF41,OUT035,3593.141235125448
FDU34,OUT046,2054.215706620207
DRH11,OUT046,876.3205797979804
FDM03,OUT013,1722.3316111731851
FDS31,OUT017,3389.226979354838
FDJ20,OUT017,2054.215706620207
FDV44,OUT027,5669.163351428571
FDG02,OUT049,3087.507511282052
FDA09,OUT013,2736.968429875518
FDT04,OUT013,637.5735090128757
FDL58,OUT019,542.9755395973149
FDE52,OUT045,1364.0491539906106
FDW12,OUT035,2384.0151261682245
FDL51,OUT017,3753.000099363057
NCY42,OUT027,3175.335988157896
FDR07,OUT017,1554.0070756410253
FDN40,OUT045,2384.0151261682245
FDB35,OUT027,2513.079854666667
FDA22,OUT017,2384.0151261682245
NCL06,OUT046,4333.8915159235685
FDI35,OUT013,3389.226979354838
NCW42,OUT045,3753.000099363057
NCX06,OUT049,2736.968429875518
FDC37,OUT027,3175.335988157896
FDZ14,OUT018,1936.5082478260874
DRG49,OUT049,3593.141235125448
NCG06,OUT045,4105.140110975608
DRC36,OUT045,2997.4076790419153
FDV21,OUT019,286.4177705128205
FDB53,OUT046,2539.3942358778627
DRP47,OUT019,542.9755395973149
FDA14,OUT013,2346.648786938776
DRC24,OUT035,2539.3942358778627
FDW21,OUT018,1509.4323129186612
NCH29,OUT046,1554.0070756410253
FDU58,OUT013,3087.507511282052
FDY27,OUT017,2736.968429875518
FDV56,OUT035,1722.3316111731851
FDT59,OUT046,4109.900606217616
FDB23,OUT046,3753.000099363057
FDR49,OUT045,754.5960957264957
FDB03,OUT010,542.9755395973149
FDN39,OUT045,2811.181403212851
FDX02,OUT027,5669.163351428571
FDQ16,OUT027,3175.335988157896
FDU35,OUT018,1509.4323129186612
NCT29,OUT013,1936.5082478260874
FDZ27,OUT046,754.5960957264957
FDN57,OUT017,2054.215706620207
FDA03,OUT018,2346.648786938776
FDZ36,OUT045,3389.226979354838
NCU05,OUT013,1248.2233455555559
FDT39,OUT018,2346.648786938776
FDK60,OUT017,1554.0070756410253
