Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1875.4860427560216
FDW14,OUT017,1591.7612740786299
NCN55,OUT010,1822.672658617002
FDQ58,OUT017,2546.362959157391
FDY38,OUT027,5087.605400109227
FDH56,OUT046,1942.6371302122498
FDL48,OUT018,680.8000272442414
FDC48,OUT027,2806.0427441358856
FDN33,OUT045,1541.2477558067708
FDA36,OUT017,3051.6757355410955
FDT44,OUT017,2004.9816551032438
FDQ56,OUT045,1358.1533406290978
NCC54,OUT019,1819.7081624356483
FDU11,OUT049,2076.750193350651
DRL59,OUT013,963.7365800429791
FDM24,OUT049,2541.571606499627
FDI57,OUT045,3047.5751030919682
DRC12,OUT018,2726.590331793125
NCM42,OUT027,3196.3220820943366
FDA46,OUT010,1129.0865932092918
FDA31,OUT013,2782.853101628462
NCJ31,OUT035,3802.6708588839992
FDG52,OUT046,863.696732362936
NCL19,OUT019,383.6749739722932
FDS10,OUT035,2986.4040703131773
FDX22,OUT010,1453.2700642602747
NCF19,OUT035,998.5313152811382
NCE06,OUT046,2519.829608866121
DRC27,OUT046,3768.6660667896876
FDE21,OUT035,2044.975056228149
NCR42,OUT019,-1251.134114547144
FDX51,OUT018,2840.7076836527967
NCR06,OUT018,510.71347688104885
FDU31,OUT027,4872.6616182120215
FDU59,OUT017,2684.937811854624
FDR03,OUT027,4667.855182836749
FDS49,OUT027,2769.552144702105
FDD48,OUT010,-11.742853337762881
NCF18,OUT017,3083.509221364911
NCD43,OUT027,3104.4140854002476
NCD54,OUT018,2007.827496987775
FDY19,OUT010,23.568113246544726
NCY54,OUT017,2783.24155896781
NCL19,OUT018,2023.5214175263466
FDP23,OUT010,1509.365342827418
FDC26,OUT013,1848.5794920752433
FDR14,OUT010,-931.074945592854
NCS41,OUT035,2986.6196676007453
FDF41,OUT035,3971.336466450321
FDU34,OUT046,2004.568317313598
DRH11,OUT046,984.1695289641887
FDM03,OUT013,1734.3034064058731
FDS31,OUT017,2964.8933269092463
FDJ20,OUT017,2116.752967896565
FDV44,OUT027,4427.784808962077
FDG02,OUT049,3080.3282714018815
FDA09,OUT013,2877.9901004558037
FDT04,OUT013,743.8136889644104
FDL58,OUT019,2224.4305199227942
FDE52,OUT045,1472.2979119940521
FDW12,OUT035,2500.3276177547987
FDL51,OUT017,3499.1716317514497
NCY42,OUT027,3669.3541994592983
FDR07,OUT017,1704.3865411049337
FDN40,OUT045,2341.92578989012
FDB35,OUT027,2975.9387231789146
FDA22,OUT017,2708.4019276470267
NCL06,OUT046,4020.0931885843825
FDI35,OUT013,2889.3869050858066
NCW42,OUT045,3358.9867537069445
NCX06,OUT049,2926.340846616716
FDC37,OUT027,3208.3154817412374
FDZ14,OUT018,1759.3628553683413
DRG49,OUT049,3880.472044509632
NCG06,OUT045,3875.8374405200043
DRC36,OUT045,2697.4303484146417
FDV21,OUT019,89.20329367236457
FDB53,OUT046,2335.2836003628095
DRP47,OUT019,1969.3600466199528
FDA14,OUT013,2346.312311893469
DRC24,OUT035,2559.4368407748675
FDW21,OUT018,1431.1415252561826
NCH29,OUT046,1574.1901419858739
FDU58,OUT013,3038.8499545102045
FDY27,OUT017,2888.5866735281907
FDV56,OUT035,1978.6353753250953
FDT59,OUT046,3588.219044516926
FDB23,OUT046,3557.519898156397
FDR49,OUT045,760.3217983798718
FDB03,OUT010,1879.100291847791
FDN39,OUT045,2601.0081164778535
FDX02,OUT027,4893.539499114104
FDQ16,OUT027,3196.5764802810168
FDU35,OUT018,1349.3325726460878
NCT29,OUT013,1985.4074128544564
FDZ27,OUT046,871.1855531616673
FDN57,OUT017,2352.025935043546
FDA03,OUT018,2095.9434563670657
